Squad,FORWARDS,MIDFIELDERS,DEFENSEMEN,GOALKEEPERS,TRANSFER FEES,EST. TOTAL SALARY,PLAYER EXPENSES,Pts,xG,xGA,xGD,YEAR
Arsenal,"47,287,273","23,630,000","38,050,000","9,100,000","94,600,000","131,899,273","226,499,273",61,53.5,44.3,9.2,2020
Arsenal,"34,167,273","35,824,000","39,179,000","6,240,000","173,740,000","115,410,273","289,150,273",56,49.2,56.6,-7.3,2019
Arsenal,"31,307,273","53,014,000","37,284,000","11,960,000","69,900,000","133,565,273","203,465,273",70,58,54.1,3.9,2018
Arsenal,"32,867,273","39,312,000","37,284,000","8,320,000","104,320,000","122,983,273","227,303,273",63,68.4,50.6,17.8,2017
Aston Villa,"12,116,000","20,929,396","16,016,000","5,044,000","90,590,000","55,145,396","145,735,396",55,52.9,52.9,0.1,2020
Aston Villa,"8,760,000","12,759,396","12,116,000","4,457,000","194,257,200","38,092,396","232,349,596",35,40.1,65.9,-25.8,2019
Bournemouth,"5,460,000","2,600,000","4,420,000",0,0,"12,480,000","12,480,000",34,42.7,57.5,-14.8,2019
Bournemouth,"3,640,000","2,600,000","8,060,000","3,640,000","25,125,000","17,940,000","43,065,000",45,54.2,55.7,-1.5,2018
Bournemouth,"9,280,000","9,256,000","9,620,000","7,280,000","29,160,000","35,436,000","64,596,000",44,44.8,61.4,-16.6,2017
Brighton,"9,776,000","24,042,000","10,566,000","1,769,333","29,150,000","46,153,333","75,303,333",41,51.6,37.7,13.9,2020
Brighton,"11,440,000","12,260,000","15,936,000","4,006,666","80,740,000","43,642,666","124,382,666",41,41.2,54.5,-13.3,2019
Brighton,"12,740,000","11,960,000","10,674,000","3,486,666","52,810,000","38,860,666","91,670,666",36,34.1,56,-21.9,2018
Brighton,"11,622,000","9,360,000","12,896,000","4,680,000","57,230,000","38,558,000","95,788,000",40,37.2,52.6,-15.5,2017
Burnley,"8,320,000","12,168,000","13,410,000","2,620,000","1,210,000","36,518,000","37,728,000",39,39.9,57.6,-17.7,2020
Burnley,"10,140,000","19,448,000","15,140,000","4,920,000","14,773,000","49,648,000","64,421,000",54,43.9,48.3,-4.4,2019
Burnley,"9,620,000","11,128,000","15,296,000","7,036,000","29,700,000","43,080,000","72,780,000",40,40.7,63,-22.3,2018
Burnley,"8,684,000","14,716,000","8,528,000","4,316,000","34,620,000","36,556,000","71,176,000",54,34.5,51.7,-17.3,2017
Cardiff City,"7,095,666","4,485,000","9,384,500","3,120,000","27,500,000","24,085,166","51,585,166",34,39.5,61.4,-21.9,2018
Chelsea,"39,088,000","48,450,000","45,084,000","12,584,000","250,420,000","145,206,000","395,626,000",67,64,32.8,31.2,2020
Chelsea,"30,300,000","61,304,000","30,494,000","9,880,000","51,300,000","131,978,000","183,278,000",66,66.6,37.9,28.6,2019
Chelsea,"10,140,000","70,162,000","43,628,000","11,856,000","195,360,000","140,206,000","335,566,000",72,58.2,35,23.2,2018
Chelsea,"14,960,000","54,914,000","39,364,000","8,788,000","238,590,000","118,026,000","356,616,000",70,57.9,35.3,22.7,2017
Crystal Palace,"26,165,000","21,892,000","27,480,000","8,972,000","20,790,000","87,759,000","108,549,000",44,32.4,57.5,-25,2020
Crystal Palace,"25,870,000","18,200,000","26,052,000","5,200,000","6,950,000","75,322,000","82,272,000",43,34,51.3,-17.3,2019
Crystal Palace,"20,020,000","18,356,000","25,012,000","6,500,000","9,500,000","69,888,000","79,388,000",49,50.9,47.9,3,2018
Crystal Palace,"19,240,000","16,432,000","26,702,000","3,380,000","42,030,000","65,772,200","107,802,200",44,56.1,50.7,5.4,2017
Everton,"21,580,000","27,415,000","27,608,000","6,720,000","109,560,000","84,051,000","193,611,000",59,47.2,52,-4.8,2020
Everton,"22,265,000","31,731,000","24,180,000","5,200,000","133,840,000","83,376,000","217,216,000",49,49.3,48.4,0.9,2019
Everton,"18,096,000","31,176,000","28,080,000","6,760,000","88,870,000","84,112,000","172,982,000",54,47.3,46.4,0.9,2018
Everton,"22,620,000","21,840,000","27,612,000","5,720,000","148,590,000","79,092,000","227,682,000",49,41.4,52.3,-10.9,2017
Fulham,"8,580,000","13,104,000","15,340,000","6,240,000","6,660,000","43,264,000","49,924,000",28,41.3,53,-11.7,2020
Fulham,"12,454,000","12,374,000","11,070,800","6,500,000","83,950,000","42,398,800","126,348,800",26,39,65.4,-26.4,2018
Huddersfield,"9,219,600","10,452,000","10,712,000","650,000","38,870,000","31,033,600","69,903,600",16,29.4,63.8,-34.5,2018
Huddersfield,"8,372,000","11,128,000","8,372,000","1,326,000","45,960,000","29,718,000","75,678,000",37,31.7,55.2,-23.5,2017
Leeds United,"9,162,000","6,128,200","7,576,800","2,528,000","98,120,000","25,766,800","123,886,800",59,57.5,62.9,-5.4,2020
Leicester City,"12,740,000","26,848,000","22,257,000","8,996,000","61,600,000","74,351,000","135,951,000",66,56,47.7,8.3,2020
Leicester City,"15,600,000","30,164,000","20,709,000","8,996,000","113,320,000","75,469,000","188,789,000",62,61.6,44.5,17.1,2019
